
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:BF:FA:57:3B:16, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 130, WPA2, CCMP, PSK, -71,       15,        0,   0.  0.  0.  0,   0, , 
E0:B9:E5:04:53:65, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -70,       13,        2,   0.  0.  0.  0,  15, CenturyLink6119, 
8E:6A:8D:60:B4:13, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, PSK, -72,       13,        0,   0.  0.  0.  0,   0, , 
8E:6A:8D:60:B4:15, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, PSK, -72,       15,        0,   0.  0.  0.  0,   0, , 
8E:6A:8D:60:B4:17, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, MGT, -73,       15,        0,   0.  0.  0.  0,   0, , 
48:BD:CE:EC:09:9A, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, PSK, -38,       16,       31,   0.  0.  0.  0,  13, Hakuna_Matata, 
4A:BD:CE:ED:09:9B, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, PSK, -38,       17,        0,   0.  0.  0.  0,   0, , 
4A:BD:CE:ED:09:9D, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, PSK, -38,       17,        0,   0.  0.  0.  0,   0, , 
4A:BD:CE:ED:09:9F, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 260, WPA2, CCMP, MGT, -39,       17,        0,   0.  0.  0.  0,   0, , 
AC:8F:A9:6B:A3:91, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 720, WPA2 WPA, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,  12, PEEPEEPOOPOO, 
E4:BF:FA:57:3B:13, 2023-07-04 06:18:56, 2023-07-04 06:19:10,  6, 130, WPA2, CCMP, PSK, -72,       18,        0,   0.  0.  0.  0,  18, 2 guys 1 router ;), 
